"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.566343750E0,3.221440141E-1,-2.495705113E-1,9.801532647E0
1.576272750E0,3.228728695E-1,-2.495485660E-1,9.801509258E0
1.586201750E0,3.246021105E-1,-2.494454722E-1,9.801454294E0
1.596130750E0,3.270209574E-1,-2.492948516E-1,9.801377696E0
1.606059250E0,3.299057909E-1,-2.492802701E-1,9.801281801E0
1.615988250E0,3.329274127E-1,-2.492884380E-1,9.801179475E0
1.625917250E0,3.353695023E-1,-2.493514234E-1,9.801094106E0
1.635846250E0,3.372848308E-1,-2.492579594E-1,9.801030956E0
1.645775250E0,3.384064730E-1,-2.491744355E-1,9.800994703E0
1.655703250E0,3.390010617E-1,-2.491779804E-1,9.800973653E0
1.665632250E0,3.390553312E-1,-2.492876522E-1,9.800968975E0
1.675561250E0,3.390267529E-1,-2.492454244E-1,9.800971314E0
1.685490250E0,3.395657566E-1,-2.494548461E-1,9.800947341E0
1.695419250E0,3.401672889E-1,-2.493317987E-1,9.800929799E0
1.705348250E0,3.407160135E-1,-2.489486234E-1,9.800920444E0
1.715277250E0,3.415126236E-1,-2.489259106E-1,9.800892962E0
1.725206250E0,3.420127432E-1,-2.489875987E-1,9.800874251E0
1.735135250E0,3.417992468E-1,-2.489459556E-1,9.800882437E0
1.745064250E0,3.409348090E-1,-2.490037882E-1,9.800911088E0
1.754993250E0,3.399654503E-1,-2.490787970E-1,9.800943248E0
1.764922250E0,3.391198333E-1,-2.491077042E-1,9.800971314E0
1.774851250E0,3.387349769E-1,-2.492290522E-1,9.800981839E0
1.784779250E0,3.385069720E-1,-2.495669664E-1,9.800981255E0
1.794708250E0,3.375749258E-1,-2.496747927E-1,9.801010491E0
1.804637250E0,3.367139964E-1,-2.497779778E-1,9.801037388E0
1.814566250E0,3.358885157E-1,-2.501862414E-1,9.801055514E0
1.824495250E0,3.346565074E-1,-2.503237058E-1,9.801094106E0
1.834424250E0,3.333842264E-1,-2.504988481E-1,9.801132697E0
1.844353250E0,3.316619655E-1,-2.505964053E-1,9.801188831E0
1.854282250E0,3.289129337E-1,-2.507468615E-1,9.801277708E0
1.864211250E0,3.248920593E-1,-2.505777856E-1,9.801416287E0
1.874140250E0,3.203462511E-1,-2.503806796E-1,9.801570654E0
1.884069250E0,3.172773400E-1,-2.502770194E-1,9.801672980E0
1.893998250E0,3.173467756E-1,-2.503278354E-1,9.801669472E0
1.903927250E0,3.217100411E-1,-2.505742955E-1,9.801520953E0
1.913856250E0,3.297324209E-1,-2.514985941E-1,9.801230931E0
1.923784250E0,3.397662064E-1,-2.514507931E-1,9.800889453E0
1.933713250E0,3.507379219E-1,-2.519608531E-1,9.800489504E0
1.943642250E0,3.604031136E-1,-2.523936018E-1,9.800128146E0
1.953571250E0,3.669073735E-1,-2.528937398E-1,9.799873792E0
1.963500250E0,3.691607808E-1,-2.530702160E-1,9.799784330E0
1.973429250E0,3.671578902E-1,-2.528874906E-1,9.799864436E0
1.983358250E0,3.612106871E-1,-2.527379297E-1,9.800089554E0
1.993287250E0,3.533400790E-1,-2.521726867E-1,9.800390686E0
2.003216250E0,3.458781182E-1,-2.518437808E-1,9.800665505E0
2.013145250E0,3.411132953E-1,-2.520909171E-1,9.800826303E0
2.023074250E0,3.398416721E-1,-2.518704588E-1,9.800876005E0
2.033003250E0,3.422380803E-1,-2.516166165E-1,9.800798821E0
2.042932250E0,3.474467435E-1,-2.515008051E-1,9.800618727E0
2.052860250E0,3.539285647E-1,-2.514110503E-1,9.800388932E0
2.062789250E0,3.599741472E-1,-2.513620251E-1,9.800170246E0
2.072718250E0,3.642742261E-1,-2.513312358E-1,9.800012371E0
2.082647250E0,3.660816005E-1,-2.513277275E-1,9.799944543E0
2.092576250E0,3.651537570E-1,-2.513080480E-1,9.799980211E0
2.102505250E0,3.621937137E-1,-2.515865399E-1,9.800082538E0
2.112434250E0,3.583794288E-1,-2.519449559E-1,9.800213515E0
2.122363250E0,3.548205575E-1,-2.520775598E-1,9.800339815E0
2.132292250E0,3.522427759E-1,-2.522018497E-1,9.800429277E0
2.142221250E0,3.512958924E-1,-2.523573674E-1,9.800459683E0
2.152150250E0,3.517905303E-1,-2.525151143E-1,9.800437464E0
2.162079250E0,3.532589124E-1,-2.528580169E-1,9.800376068E0
2.172008250E0,3.548650694E-1,-2.531637532E-1,9.800309994E0
2.181937250E0,3.559182261E-1,-2.534202998E-1,9.800265555E0
2.191865250E0,3.560120739E-1,-2.536805923E-1,9.800255030E0
2.201794250E0,3.550483431E-1,-2.539949897E-1,9.800281928E0
2.211723250E0,3.532751384E-1,-2.543140650E-1,9.800338061E0
2.221652250E0,3.511760611E-1,-2.546659577E-1,9.800404134E0
2.231581250E0,3.494922091E-1,-2.547679368E-1,9.800461437E0
2.241510250E0,3.489569331E-1,-2.546972221E-1,9.800482487E0
2.251439250E0,3.496588913E-1,-2.545265930E-1,9.800462022E0
2.261368250E0,3.516598085E-1,-2.542765149E-1,9.800397118E0
2.271297250E0,3.545575790E-1,-2.540871748E-1,9.800297130E0
2.281226250E0,3.579972036E-1,-2.538285634E-1,9.800179017E0
2.291155250E0,3.618406515E-1,-2.534503947E-1,9.800047454E0
2.301084250E0,3.656141887E-1,-2.529455424E-1,9.799920570E0
2.311013250E0,3.697758348E-1,-2.521496999E-1,9.799784914E0
2.320941250E0,3.738765968E-1,-2.512142733E-1,9.799653352E0
2.330870250E0,3.782856532E-1,-2.503102572E-1,9.799507172E0
2.340799250E0,3.821057488E-1,-2.495167535E-1,9.799379117E0
2.350728250E0,3.844170435E-1,-2.489697099E-1,9.799303104E0
2.360657250E0,3.845039478E-1,-2.485160939E-1,9.799311290E0
2.370586250E0,3.817768429E-1,-2.481859455E-1,9.799425895E0
2.380515250E0,3.765527943E-1,-2.481444119E-1,9.799629378E0
2.390444250E0,3.685144442E-1,-2.479141961E-1,9.799940450E0
2.400373250E0,3.576194004E-1,-2.478758968E-1,9.800345078E0
2.410302250E0,3.444322114E-1,-2.478894185E-1,9.800816948E0
