"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.514839167E0,1.877389383E-3,1.989610866E-2,5.102972500E-4
2.524768167E0,1.026254147E-3,9.741074406E-3,1.293607056E-6
2.534697167E0,1.017199364E-3,-4.641327076E-3,1.178943552E-3
2.544626167E0,-4.559410736E-4,-9.361717850E-3,7.166410796E-4
2.554555167E0,-1.690316247E-3,-1.992275007E-2,1.089079306E-4
2.564484167E0,-1.021362841E-3,-2.920468524E-2,5.904957652E-5
2.574413167E0,-2.122579841E-3,-3.513261676E-2,7.296332624E-4
2.584342167E0,2.868506126E-4,-4.117566720E-2,3.865654580E-4
2.594271167E0,2.714046277E-4,-4.300898686E-2,2.044649562E-3
2.604200167E0,-5.191182718E-4,-4.241064563E-2,-1.670628320E-3
2.614129167E0,1.121921930E-3,-4.057945311E-2,2.598972060E-4
2.624057167E0,-2.177511808E-3,-3.484262899E-2,-1.012543216E-3
2.633986167E0,2.427892759E-3,-2.926809900E-2,-2.260234207E-3
2.643915167E0,7.068822160E-4,-2.058903128E-2,3.770538606E-4
2.653844167E0,-3.930032253E-4,-1.325335540E-2,-8.373474702E-4
2.663773167E0,-1.894137822E-4,-5.556609482E-3,3.157784929E-3
2.673702167E0,6.396281533E-4,-3.919412848E-4,1.305822749E-3
2.683631167E0,-9.126728401E-5,1.075504161E-2,6.098144222E-4
2.693560167E0,-2.423663624E-3,1.302405540E-2,-1.114316285E-3
2.703489167E0,1.612877939E-3,2.078410983E-2,-1.327828038E-3
2.713418167E0,8.474858478E-4,2.428243868E-2,4.232004285E-4
2.723347167E0,1.931619830E-3,2.847967856E-2,1.210003858E-3
2.733275167E0,9.300047532E-4,3.041579761E-2,8.645916823E-4
2.743204167E0,4.245871678E-4,3.211598843E-2,-6.408062764E-4
2.753133167E0,-7.868851535E-4,2.849835344E-2,2.308112103E-3
2.763062167E0,-1.246177359E-3,2.496785112E-2,-1.893829554E-3
2.772991167E0,-3.811824135E-4,2.201706730E-2,1.098764595E-3
2.782920167E0,1.422950998E-3,2.042336576E-2,-1.165624242E-3
2.792849167E0,1.315625384E-3,1.099710539E-2,8.599760476E-4
2.802778167E0,3.591924906E-4,6.795782130E-3,-2.519377507E-3
2.812707167E0,-9.556100704E-4,-3.848990891E-4,-1.146518160E-3
2.822636167E0,3.887102939E-4,-8.232588880E-3,-1.371623948E-4
2.832565167E0,3.857808188E-4,-1.103103813E-2,1.493491232E-3
2.842493167E0,4.186844453E-4,-1.864880510E-2,1.198655926E-3
2.852422167E0,1.896522008E-4,-2.203794383E-2,-1.088732854E-3
2.862351167E0,-1.022944227E-3,-2.735244855E-2,3.937073052E-5
2.872280167E0,1.965388656E-3,-2.520301007E-2,-8.890070021E-4
2.882209167E0,1.004079357E-3,-2.719353512E-2,-1.230089925E-3
2.892138167E0,-5.916864611E-4,-2.440254204E-2,-4.271469079E-4
2.902067167E0,8.553001098E-4,-2.133322135E-2,-7.623867132E-4
2.911996167E0,8.145538159E-4,-1.855314709E-2,-6.726384163E-4
2.921925167E0,1.767659560E-4,-1.438353956E-2,1.116636209E-3
2.931854167E0,1.360274851E-3,-7.299797144E-3,-1.531611197E-3
2.941783167E0,1.749323215E-3,-1.782955253E-3,-5.464046262E-4
2.951711167E0,1.804450992E-3,4.268012941E-3,2.162562916E-3
2.961640167E0,-2.787245205E-3,1.007577125E-2,-8.602621965E-4
2.971569167E0,-4.555051681E-3,1.393495779E-2,1.175724436E-3
2.981498167E0,-5.118241534E-4,1.664420404E-2,3.525698557E-4
2.991427167E0,1.510047819E-3,1.901175454E-2,2.699080855E-3
3.001356167E0,-1.390743069E-3,2.341911010E-2,3.591466229E-3
3.011285167E0,1.344489865E-4,2.154850587E-2,2.077459125E-3
3.021214167E0,1.688805874E-3,1.747500710E-2,9.848158807E-4
3.031143167E0,-2.143482910E-3,1.615381241E-2,-2.931570634E-5
3.041072167E0,3.281575628E-4,1.005383767E-2,-2.968455665E-4
3.051001167E0,5.361502990E-4,4.526181612E-3,-2.131497487E-3
3.060929167E0,-4.361467436E-4,3.272624454E-3,-7.302034646E-5
3.070858167E0,8.229957893E-4,-4.285959527E-3,-5.087130703E-4
3.080787167E0,1.838681754E-3,-4.359615967E-3,4.931846634E-4
3.090716167E0,-1.951529179E-3,-1.019327063E-2,5.517741665E-4
3.100645167E0,1.212811563E-3,-1.131327078E-2,-6.037256680E-4
3.110574167E0,-4.428755492E-4,-1.370132808E-2,3.166627139E-4
3.120503167E0,2.891766373E-3,-1.703649759E-2,-2.235820051E-3
3.130432167E0,1.716246828E-3,-1.750228554E-2,5.875993520E-5
3.140361167E0,1.157222781E-3,-1.577403769E-2,4.897057079E-4
3.150290167E0,-1.347480342E-3,-1.278623659E-2,-2.001681365E-3
3.160219167E0,1.530119218E-3,-1.133878808E-2,-1.136779785E-3
3.170147167E0,6.534061395E-4,-6.267330609E-3,5.692411214E-4
3.180076167E0,1.138499938E-4,-1.026495942E-3,-2.423885744E-3
3.190005167E0,-1.215600176E-3,3.458799794E-3,-6.137350574E-4
3.199934167E0,3.244457766E-4,7.325546350E-3,-3.573317081E-3
3.209863167E0,9.654685855E-4,1.099990960E-2,6.872075610E-4
3.219792167E0,-9.087282233E-4,1.535025425E-2,1.358110458E-3
3.229721167E0,1.133383717E-3,1.635772735E-2,-1.390804537E-3
3.239650167E0,6.594508886E-4,1.506123133E-2,-2.123875078E-3
3.249579167E0,7.132464088E-4,1.440449525E-2,7.326316554E-4
3.259508167E0,1.554522663E-3,1.402152143E-2,-7.345327176E-4
3.269436167E0,-2.830105834E-3,1.389981527E-2,-6.778072566E-4
3.279365167E0,-2.294544131E-3,1.745327190E-2,1.755523030E-3
3.289294167E0,-1.014628913E-3,2.767395228E-2,-2.370778937E-3
3.299223167E0,-2.454500645E-6,4.115948081E-2,9.450542275E-4
3.309152167E0,2.726502717E-4,5.540392920E-2,-1.612231135E-4
3.319081167E0,-3.356952220E-5,9.698028862E-2,4.800761119E-3
3.329010167E0,3.753977828E-3,1.143965647E-1,-2.182321623E-4
3.338939167E0,-4.061698448E-3,1.540721655E-1,6.064007990E-3
3.348868167E0,6.574701052E-3,1.610853374E-1,2.728398889E-3
3.358797167E0,-5.518207327E-4,1.674648374E-1,5.766689777E-3
3.368725167E0,-1.954241423E-3,1.401173770E-1,6.325687282E-3
3.378654167E0,5.465743598E-3,1.239355505E-1,4.583528731E-3
3.388583167E0,-7.508732378E-4,7.918406278E-2,2.225299599E-3
3.398512167E0,-1.886487938E-3,9.202162735E-3,-3.523116931E-3
3.408441167E0,-1.622787677E-2,-8.991221897E-3,6.942648906E-4
3.418370167E0,1.499969698E-2,-1.408811361E-1,-3.820348065E-3
3.428299167E0,-1.356856339E-2,-2.625982463E-1,-9.347472340E-3
3.438228167E0,1.359829307E-2,-4.835093617E-1,-1.834744588E-2
3.448157167E0,-1.173715666E-2,-8.569561839E-1,-2.629112266E-2
3.458086167E0,8.683665656E-4,-1.243747592E0,-4.378705472E-2
3.468015167E0,2.685389295E-2,-1.878213167E0,-4.860498011E-2
3.477943167E0,2.772975713E-4,-2.462604284E0,-7.408469170E-2
3.487872167E0,5.219668522E-2,-2.981253147E0,-8.935179561E-2
3.497801167E0,4.844455793E-2,-3.427250862E0,-1.050468683E-1
3.507730167E0,5.674802884E-2,-3.757620335E0,-1.190625504E-1
3.517659167E0,1.773153432E-2,-3.846535921E0,-1.231095120E-1
3.527588167E0,4.709476605E-3,-3.709714413E0,-1.442542076E-1
3.537517167E0,-3.155176342E-2,-3.440044641E0,-1.773883998E-1
3.547446167E0,-9.785301983E-2,-3.240337372E0,-2.391234040E-1
3.557375167E0,-1.079665869E-1,-2.975506544E0,-2.948288321E-1
3.567304167E0,-1.153709739E-1,-2.750594139E0,-3.498356342E-1
3.577233167E0,-1.241694763E-1,-2.561867476E0,-3.644286096E-1
3.587161167E0,-1.609977931E-1,-2.432784081E0,-3.541655838E-1
3.597090167E0,-1.598777622E-1,-2.292811155E0,-3.473274410E-1
3.607019167E0,-1.437302232E-1,-2.203929901E0,-3.399257064E-1
3.616948167E0,-1.210458055E-1,-2.093541861E0,-3.170771599E-1
3.626877167E0,-1.127601787E-1,-2.020510435E0,-2.864148319E-1
3.636806167E0,-1.071175113E-1,-2.065968752E0,-2.373023033E-1
3.646735167E0,-7.878440619E-2,-1.990745425E0,-1.569371670E-1
3.656664167E0,-2.911251597E-2,-1.970441818E0,-9.476514906E-2
3.666593167E0,4.890191834E-3,-1.964642048E0,-4.666686058E-2
3.676522167E0,3.440198023E-3,-1.715799570E0,-4.151268676E-2
3.686450167E0,-1.121784095E-2,-1.481800079E0,-3.260947391E-2
