"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.879389333E0,-1.709393296E-1,-3.041680652E-1,9.803793181E0
1.889318333E0,-1.890982598E-1,-3.041547445E-1,9.803460474E0
1.899247333E0,-2.054325116E-1,-3.040678037E-1,9.803134199E0
1.909176333E0,-2.194528739E-1,-3.042004990E-1,9.802826051E0
1.919105333E0,-2.307422759E-1,-3.043235646E-1,9.802562926E0
1.929034333E0,-2.388578275E-1,-3.043613157E-1,9.802367629E0
1.938963333E0,-2.435984393E-1,-3.044381883E-1,9.802248346E0
1.948892333E0,-2.448254044E-1,-3.045114795E-1,9.802215602E0
1.958820333E0,-2.426852687E-1,-3.045552788E-1,9.802267642E0
1.968749333E0,-2.375365578E-1,-3.044667483E-1,9.802396281E0
1.978678333E0,-2.295830106E-1,-3.045514598E-1,9.802583392E0
1.988607333E0,-2.192850223E-1,-3.045529764E-1,9.802819034E0
1.998536333E0,-2.073178732E-1,-3.044626552E-1,9.803082159E0
2.008465333E0,-1.943275710E-1,-3.044837052E-1,9.803347623E0
2.018394333E0,-1.808427588E-1,-3.043106642E-1,9.803611332E0
2.028323333E0,-1.675634580E-1,-3.041434886E-1,9.803852237E0
2.038252333E0,-1.547695308E-1,-3.041649954E-1,9.804062153E0
2.048181333E0,-1.429553047E-1,-3.040843586E-1,9.804244001E0
2.058110167E0,-1.325740941E-1,-3.042102931E-1,9.804385504E0
2.068038167E0,-1.241552364E-1,-3.042104210E-1,9.804496016E0
2.077967167E0,-1.177874450E-1,-3.042545309E-1,9.804573199E0
2.087896167E0,-1.138354490E-1,-3.042989697E-1,9.804618223E0
2.097825167E0,-1.121210088E-1,-3.041012059E-1,9.804644535E0
2.107754167E0,-1.130459287E-1,-3.041073821E-1,9.804633425E0
2.117683167E0,-1.162299934E-1,-3.042200506E-1,9.804593080E0
2.127612167E0,-1.214311100E-1,-3.044436518E-1,9.804522913E0
2.137541167E0,-1.284153259E-1,-3.044664742E-1,9.804433451E0
2.147470167E0,-1.366943803E-1,-3.045774982E-1,9.804317676E0
2.157399167E0,-1.459462103E-1,-3.045697872E-1,9.804184944E0
2.167328167E0,-1.557029475E-1,-3.044722300E-1,9.804037594E0
2.177256167E0,-1.654510417E-1,-3.044601336E-1,9.803878550E0
2.187185167E0,-1.748212596E-1,-3.044097562E-1,9.803717167E0
2.197114167E0,-1.835819966E-1,-3.045536525E-1,9.803552860E0
2.207043167E0,-1.911626376E-1,-3.046857448E-1,9.803403756E0
2.216972167E0,-1.975467373E-1,-3.044916355E-1,9.803283303E0
2.226901167E0,-2.023627234E-1,-3.044373477E-1,9.803186824E0
2.236830167E0,-2.054080812E-1,-3.044268045E-1,9.803123674E0
2.246759167E0,-2.068427686E-1,-3.044011498E-1,9.803094438E0
2.256688167E0,-2.066215429E-1,-3.043341809E-1,9.803100870E0
2.266617167E0,-2.045499292E-1,-3.042919348E-1,9.803145894E0
2.276546167E0,-2.008634607E-1,-3.043673456E-1,9.803219569E0
2.286475167E0,-1.960981992E-1,-3.042495608E-1,9.803319556E0
2.296403167E0,-1.904732143E-1,-3.041710253E-1,9.803432992E0
2.306332167E0,-1.841643975E-1,-3.041490435E-1,9.803554029E0
2.316261167E0,-1.773513863E-1,-3.040877025E-1,9.803682083E0
2.326190167E0,-1.706326615E-1,-3.039933614E-1,9.803803706E0
2.336119167E0,-1.641359298E-1,-3.040005607E-1,9.803914803E0
2.346048167E0,-1.581803396E-1,-3.040387869E-1,9.804011282E0
2.355977167E0,-1.532511003E-1,-3.039922285E-1,9.804091389E0
2.365906167E0,-1.495736676E-1,-3.040089661E-1,9.804147522E0
