"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.863189833E0,-5.604213775E-1,-2.850084388E-1,9.789831199E0
2.873118833E0,-5.558483433E-1,-2.854830683E-1,9.790077952E0
2.883048833E0,-5.500954871E-1,-2.857811484E-1,9.790394286E0
2.892977833E0,-5.430941407E-1,-2.860820242E-1,9.790776694E0
2.902907833E0,-5.351100966E-1,-2.862493825E-1,9.791211142E0
2.912837833E0,-5.264577523E-1,-2.864782827E-1,9.791673657E0
2.922766833E0,-5.176027655E-1,-2.870364542E-1,9.792129155E0
2.932696833E0,-5.093766467E-1,-2.874265731E-1,9.792549570E0
2.942626833E0,-5.022432263E-1,-2.875877188E-1,9.792913266E0
2.952555833E0,-4.957549731E-1,-2.874284918E-1,9.793248312E0
2.962485833E0,-4.892915706E-1,-2.874857945E-1,9.793571663E0
2.972414833E0,-4.827473303E-1,-2.876842344E-1,9.793890336E0
2.982344833E0,-4.755626006E-1,-2.878948255E-1,9.794235907E0
2.992274833E0,-4.685894670E-1,-2.881638705E-1,9.794563935E0
3.002203833E0,-4.637667566E-1,-2.883425029E-1,9.794788468E0
3.012133583E0,-4.619569703E-1,-2.881979123E-1,9.794877931E0
3.022062583E0,-4.632489857E-1,-2.878783619E-1,9.794826475E0
3.031992583E0,-4.677711126E-1,-2.875901673E-1,9.794620069E0
3.041922583E0,-4.750093078E-1,-2.873864466E-1,9.794277422E0
3.051851583E0,-4.843678495E-1,-2.871354549E-1,9.793826602E0
3.061781583E0,-4.953356912E-1,-2.870190770E-1,9.793281641E0
3.071710583E0,-5.073562875E-1,-2.868815030E-1,9.792670022E0
3.081640583E0,-5.196600352E-1,-2.863876326E-1,9.792039108E0
3.091570583E0,-5.313195660E-1,-2.859943342E-1,9.791425150E0
3.101499583E0,-5.421426525E-1,-2.855055984E-1,9.790846276E0
3.111429583E0,-5.520362876E-1,-2.850546501E-1,9.790306578E0
3.121358583E0,-5.623048753E-1,-2.845390719E-1,9.789737059E0
3.131288583E0,-5.743273354E-1,-2.839557756E-1,9.789055858E0
3.141218583E0,-5.889018859E-1,-2.834417505E-1,9.788205088E0
3.151147583E0,-6.062515980E-1,-2.830115233E-1,9.787157852E0
3.161077583E0,-6.256595300E-1,-2.825886417E-1,9.785948648E0
3.171006583E0,-6.472938625E-1,-2.820829855E-1,9.784556426E0
3.180936583E0,-6.703739190E-1,-2.817078501E-1,9.783012761E0
3.190866583E0,-6.937735990E-1,-2.813844625E-1,9.781390743E0
3.200795583E0,-7.150265468E-1,-2.807970000E-1,9.779876899E0
3.210725583E0,-7.257604998E-1,-2.782283548E-1,9.779159446E0
3.220654583E0,-7.280212527E-1,-2.758859053E-1,9.779057704E0
3.230584583E0,-7.160434507E-1,-2.740541189E-1,9.779993843E0
3.240514583E0,-6.900952618E-1,-2.723380707E-1,9.781907052E0
3.250443583E0,-6.549170968E-1,-2.706784847E-1,9.784371069E0
3.260373583E0,-6.141079170E-1,-2.692676795E-1,9.787056111E0
3.270302583E0,-5.709470601E-1,-2.678141348E-1,9.789708408E0
3.280232583E0,-5.285503246E-1,-2.664274310E-1,9.792126816E0
3.290162583E0,-4.899847945E-1,-2.655004281E-1,9.794157554E0
